,year,month,bx_gsm,by_gsm,bz_gsm,bt,intensity,declination,inclination,north,east,vertical,horizontal,class
0,2018,1,8.98,5.48,0.87,1.66,57312,83.706,89.883,13,116,57312,117,0
1,2018,1,10.3,-0.59,0.69,2.03,57312,83.706,89.883,13,116,57312,117,0
2,2018,1,11.31,0.47,1.32,4.11,57312,83.706,89.883,13,116,57312,117,0
3,2018,1,10.3,-0.39,2.01,5.58,57312,83.706,89.883,13,116,57312,117,0
4,2018,1,7.49,1.45,1.51,5.78,57312,83.706,89.883,13,116,57312,117,0
5,2018,1,5.39,-3.77,1.25,2.39,57312,83.706,89.883,13,116,57312,117,0
6,2018,1,7.17,-4.91,0.42,2.07,57312,83.706,89.883,13,116,57312,117,0
7,2018,1,7.62,-3.25,0.74,1.76,57312,83.706,89.883,13,116,57312,117,0
8,2018,1,7.63,-4.58,0.44,1.31,57312,83.706,89.883,13,116,57312,117,0
9,2018,1,6.89,-5.87,0.18,0.56,57312,83.706,89.883,13,116,57312,117,0
10,2018,1,6.26,-3.23,0.36,1.13,57312,83.706,89.883,13,116,57312,117,0
11,2018,1,6.78,-2.85,0.23,0.9,57312,83.706,89.883,13,116,57312,117,0
12,2018,1,6.64,-3.44,0.15,0.79,57312,83.706,89.883,13,116,57312,117,0
13,2018,1,6.45,-5.54,0.11,0.44,57312,83.706,89.883,13,116,57312,117,0
14,2018,1,5.85,-5.5,0.26,0.29,57312,83.706,89.883,13,116,57312,117,0
15,2018,1,5.24,-5.09,0.14,0.12,57312,83.706,89.883,13,116,57312,117,0
16,2018,1,4.88,-4.8,0.13,0.16,57312,83.706,89.883,13,116,57312,117,0
17,2018,1,4.82,-4.79,0.24,0.24,57312,83.706,89.883,13,116,57312,117,0
18,2018,1,4.61,-3.59,0.23,1.71,57312,83.706,89.883,13,116,57312,117,0
19,2018,1,4.96,0.13,0.29,0.63,57312,83.706,89.883,13,116,57312,117,0
20,2018,1,5.2,1.94,0.19,1.33,57312,83.706,89.883,13,116,57312,117,0
21,2018,1,5.11,2.94,0.18,0.8,57312,83.706,89.883,13,116,57312,117,0
22,2018,1,4.32,1.56,0.92,2.53,57312,83.706,89.883,13,116,57312,117,0
23,2018,1,4.56,0.35,0.37,2.28,57312,83.706,89.883,13,116,57312,117,0
24,2018,1,4.52,-0.53,0.31,1.77,57312,83.706,89.883,13,116,57312,117,0
25,2018,1,3.6,-0.74,0.46,1.15,57312,83.706,89.883,13,116,57312,117,0
26,2018,1,4.28,-1.7,0.45,1.32,57312,83.706,89.883,13,116,57312,117,0
27,2018,1,2.87,-0.45,0.6,1.79,57312,83.706,89.883,13,116,57312,117,0
28,2018,1,3.03,-2.44,0.4,0.87,57312,83.706,89.883,13,116,57312,117,0
29,2018,1,3.14,-2.81,0.29,0.35,57312,83.706,89.883,13,116,57312,117,0
30,2018,1,3.27,1.52,0.48,0.85,57312,83.706,89.883,13,116,57312,117,0
31,2018,1,3.46,-1.38,0.38,1.33,57312,83.706,89.883,13,116,57312,117,0
32,2018,1,3.65,-3.22,0.79,1.22,57312,83.706,89.883,13,116,57312,117,0
33,2018,1,4.0,-3.07,0.61,0.87,57312,83.706,89.883,13,116,57312,117,0
34,2018,1,4.54,-4.14,1.07,1.01,57312,83.706,89.883,13,116,57312,117,0
35,2018,1,5.81,-5.31,0.41,0.55,57312,83.706,89.883,13,116,57312,117,0
36,2018,1,5.02,-3.13,0.82,2.56,57312,83.706,89.883,13,116,57312,117,0
37,2018,1,3.59,-2.24,0.68,2.06,57312,83.706,89.883,13,116,57312,117,0
38,2018,1,3.45,-1.92,0.4,1.2,57312,83.706,89.883,13,116,57312,117,0
39,2018,1,4.22,-0.4,0.5,1.69,57312,83.706,89.883,13,116,57312,117,0
40,2018,1,4.45,-1.99,0.45,1.8,57312,83.706,89.883,13,116,57312,117,0
41,2018,1,4.09,3.32,0.17,0.41,57312,83.706,89.883,13,116,57312,117,0
42,2018,1,4.13,3.38,0.22,0.33,57312,83.706,89.883,13,116,57312,117,0
